Id,ZH
80000,中国
80001,改革开放
80002,一带一路
80003,中国制造
80004,强军兴军
80005,美丽中国
80006,体育大国
80007,减贫奇迹
80008,一国两制
80009,文化自信
80010,获得感、幸福感、安全感
80100,北京
80101,天安门广场
80102,中关村
80103,名校云集
80104,故宫
80105,国家大剧院
80106,长城
80107,京剧
80108,鸟巢、水立方
80109,大兴新机场
80110,北京烤鸭
80200,天津
80201,天津之眼
80202,狗不理包子
80203,津塔
80204,相声
80205,五大道
80206,南开、天大
80207,天河一号
80208,滨海新区
80209,津洽会
80210,杨柳青、泥人张
80300,河北
80301,京张高铁
80302,西柏坡
80303,雄安新区
80304,承德避暑山庄
80305,山海关
80306,塞罕坝
80307,评剧
80308,冬奥会
80309,驴肉火烧
80310,吴桥杂技
80400,山西
80401,云冈石窟
80402,平遥古城
80403,鹳雀楼
80404,刀削面
80405,五台山
80406,壶口瀑布
80407,煤炭大省
80408,老陈醋
80409,汾酒
80410,洪洞大槐树
80500,内蒙古自治区
80501,额济纳胡杨林
80502,元上都遗址
80503,马头琴、蒙古长调
80504,烤全羊
80505,那达慕大会
80506,乌兰牧骑
80507,“羊煤土气”
80508,奶制品
80509,呼伦贝尔大草原
80510,巴丹吉林沙漠越野赛
80600,辽宁
80601,鞍钢
80602,首艘国产航母
80603,鸭绿江大桥
80604,二人转
80605,沈阳故宫
80606,盘锦红海滩
80607,大连港
80608,辽沈战役纪念馆
80609,辽参
80610,沈阳中街
80700,吉林
80701,查干湖冬捕
80702,松江雾凇
80703,一眼望三国
80704,长白山
80705,汽车城
80706,长春电影制片厂
80707,高句丽古迹
80708,东北虎、东北豹
80709,东北三宝
80710,朝鲜冷面
80800,黑龙江
80801,兴安岭
80802,冰雪节
80803,大庆油田
80804,五常大米
80805,五大连池
80806,重工业基地
80807,丹顶鹤
80808,中央大街
80809,北大仓
80810,漠河北极村
80900,上海
80901,中共一大会址
80902,城隍庙豫园
80903,东方明珠电视塔
80904,世博会中国馆
80905,外滩
80906,浦东新区、自贸区
80907,中国国际进口博览会
80908,上海美术电影制片厂
80909,石库门
80910,本帮菜
81000,江苏
81001,太湖
81002,昆曲
81003,江南园林
81004,大闸蟹
81005,南京长江大桥
81006,花果山
81007,华西村
81008,淮扬菜
81009,宜兴紫砂壶
81010,雨花台
81100,浙江
81101,西湖
81102,越剧
81103,世界互联网大会
81104,义乌小商品
81105,普陀山
81106,嘉兴南湖红船
81107,杭州湾跨海大桥
81108,宁波舟山港
81109,浙菜
81110,绿水青山就是金山银山理念
81200,安徽
81201,徽州古城
81202,黄梅戏
81203,徽菜
81204,宣纸 
81205,量子科技研究
81206,黄山
81207,小岗村
81208,巢湖
81209,亳州药材
81210,安徽名茶
81300,福建
81301,土楼
81302,武夷山
81303,鼓浪屿
81304,闽菜
81305,湄洲妈祖祖庙
81306,南音
81307,海上丝绸之路
81308,著名侨乡
81309,“扶贫第一村”
81310,海峡论坛
81400,江西
81401,井冈山革命根据地
81402,鄱阳湖
81403,滕王阁
81404,庐山
81405,脐橙
