Id,ZH
40001,一带一路建设
40002,自由贸易区建设
40003,区域协调发展
40004,全面深化改革
40005,全面依法治国
40006,科教兴国
40007,创新驱动
40008,制造强国
40009,优化营商环境
40010,减税降费
40011,普惠金融
40012,新型城镇化
40013,乡村振兴
40014,精准扶贫
40015,新一代人工智能
40016,蓝天保卫战
40017,拍蝇打虎猎狐
40018,扫黑除恶
40019,平安中国
40020,美丽中国
40021,互联网+
40022,健康中国
40023,河长制
40024,厕所革命
40025,社会主义核心价值观
40026,双一流建设
40027,体育强国
40028,民族团结
40029,节约资源
40030,强军兴军
40031,个税改革
40032,大众创业万众创新
40033,产权保护
40034,户籍制度改革
40035,文化惠民
40036,棚户区改造
40037,租购并举
40038,垃圾分类
40039,医保异地结算
40040,大病保险
40041,全面二孩
40042,幼有所育
40043,老有所养
40044,失信联合惩戒
40045,全民健身
